deviceid,appversion,timestamp,id,cpuoccupancy,vss,rss
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,212,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,213,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,214,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,215,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,216,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,217,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,218,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,219,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,220,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,221,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,222,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,223,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,224,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,225,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,226,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,227,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,228,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,229,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,230,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,231,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,232,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,233,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,234,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,235,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,236,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,237,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,238,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,239,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,240,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,241,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,242,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,243,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,244,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,245,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,246,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,247,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,248,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,249,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,250,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,251,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,252,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,253,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,254,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,255,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,256,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,257,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,258,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,259,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,260,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,261,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,262,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,263,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,264,0,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,265,1,1765932,134248
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,266,0,1765900,134184
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,267,0,1765900,134184
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,268,0,1765900,134184
