deviceid,appversion,timestamp,id,vss,rss
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,188,1802932,152544
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,189,1802288,152544
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,190,1801260,151860
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,191,1758792,139100
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,192,1758784,134296
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,193,1780480,136776
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,194,1778988,136528
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,195,1778988,136528
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,196,1759272,145236
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,197,1767124,134468
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,198,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,199,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,200,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,201,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,202,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,203,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,204,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,205,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,206,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,207,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,208,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,209,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,210,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,211,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,212,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,213,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,214,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,215,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,216,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,217,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,218,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,219,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,220,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,221,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,222,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,223,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,224,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,225,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,226,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,227,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,228,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,229,1767124,134436
