deviceid,appversion,timestamp,meminfosize
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:38,   121277 
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:45,   134954 
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:53,   120434 
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:01,   122276 
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:09,   122540 
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:17,   119614 
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:25,   120387 
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:33,   120303 
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:42,   120423 
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:49,   122231 
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:57,   120327 
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:06,   118948 
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:14,   119528 
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:22,   119556 
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:30,   119932 
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:38,   119932 
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:46,   121384 
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:54,   122132 
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:02,   117801 
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:10,   120477 
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:18,   118365 
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:26,   118941 
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:35,   119292 
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:43,   123112 
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:51,   137513 
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:59,   141645 
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:07,   120975 
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:15,   120454 
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:23,   121335 
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:30,   131051 
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:39,   123043 
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:46,   121927 
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:55,   123103 
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:02,   123563 
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:10,   122871 
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:18,   124027 
