deviceid,appversion,timestamp,power,temperature
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:31," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:36," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:42," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:47," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:52," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:57," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:02," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:07," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:12," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:17," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:22," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:27," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:32," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:37," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:43," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:48," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:53," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:58," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:03," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:08," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:13," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:18," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:23," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:28," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:34," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:39," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:44," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:49," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:54," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:59," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:04," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:09," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:14," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:20," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:25," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:30," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:35," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:40," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:45," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:50," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:55," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:00," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:05," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:11," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:16," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:21," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:26," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:31," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:36," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:41," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:46," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:51," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:56," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:02," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:07," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:12," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:17," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:22," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:27," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:32," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:37," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:42," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:47," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:52," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:58," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:03," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:08," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:13," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:18," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:23," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:28," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:33," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:38," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:44," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:49," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:54," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:59," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:04," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:09," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:14," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:19," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:24," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:30," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:35," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:40," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:45," 50
",32.0
